epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
779,7032782,7032882,7032982,63599294394,63566044437,4.26099E+19,2.21903E+19,2.04196E+19,2.04196E+19,4.13316E+19,TRUE
780,7032885,7032985,7033085,63566044437,63638896695,9.43805E+19,3.04152E+19,6.39653E+19,3.04152E+19,9.15491E+19,TRUE
781,7032987,7033087,7033187,63638896695,63659582758,6.3327E+19,4.01171E+19,2.32099E+19,4.01171E+19,6.14272E+19,TRUE
782,7033089,7033189,7033289,63659582758,63870306806,5.13209E+19,2.04763E+19,3.08446E+19,2.04763E+19,4.97813E+19,TRUE
783,7033191,7033291,7033391,63870306806,63710000000,6.68187E+19,3.5983E+19,3.08357E+19,3.08357E+19,6.48141E+19,TRUE
784,7033293,7033393,7033493,63710000000,63828745955,6.28892E+19,1.51027E+19,4.77865E+19,1.51027E+19,6.10025E+19,TRUE
785,7033395,7033495,7033595,63828745955,63759096447,4.5966E+19,1.81525E+19,2.78135E+19,2.78135E+19,4.4587E+19,TRUE
786,7033498,7033598,7033698,63759096447,63706587001,5.32351E+19,2.96259E+19,2.36092E+19,2.36092E+19,5.1638E+19,TRUE
787,7033600,7033700,7033800,63706587001,63667003486,4.40363E+19,2.46274E+19,1.94089E+19,1.94089E+19,4.27152E+19,TRUE
788,7033703,7033803,7033903,63667003486,63599000000,5.02404E+19,2.793E+19,2.23103E+19,2.23103E+19,4.87332E+19,TRUE
789,7033806,7033906,7034006,63599000000,63649173563,6.45819E+19,2.43243E+19,4.02575E+19,2.43243E+19,6.26444E+19,TRUE
790,7033908,7034008,7034108,63649173563,63738932817,4.74209E+19,3.24137E+19,1.50072E+19,3.24137E+19,4.59983E+19,TRUE
791,7034011,7034111,7034211,63738932817,63623000000,4.59514E+19,2.26659E+19,2.32855E+19,2.32855E+19,4.45728E+19,TRUE
792,7034113,7034213,7034313,63623000000,63643207568,5.68179E+19,3.37673E+19,2.30506E+19,3.37673E+19,5.51134E+19,TRUE
793,7034215,7034315,7034415,63643207568,63302907429,5.38678E+19,3.08791E+19,2.29888E+19,2.29888E+19,5.22518E+19,TRUE
794,7034317,7034417,7034517,63302907429,63153000000,7.11712E+19,2.97181E+19,4.14531E+19,4.14531E+19,6.9036E+19,TRUE
795,7034419,7034519,7034619,63153000000,63086578420,5.83744E+19,1.85459E+19,3.98285E+19,3.98285E+19,5.66232E+19,TRUE
796,7034521,7034621,7034721,63086578420,62938000000,6.31453E+19,2.33196E+19,3.98257E+19,3.98257E+19,6.12509E+19,TRUE
797,7034623,7034723,7034823,62938000000,63044479873,8.6168E+19,3.81443E+19,4.80237E+19,3.81443E+19,8.35829E+19,TRUE
798,7034725,7034825,7034925,63044479873,63161464877,8.6511E+19,5.85037E+19,2.80072E+19,5.85037E+19,8.39156E+19,TRUE
799,7034827,7034927,7035027,63161464877,63140157497,8.29501E+19,5.78303E+19,2.51199E+19,2.51199E+19,8.04616E+19,TRUE
800,7034929,7035029,7035129,63140157497,63232512180,6.80827E+19,3.89843E+19,2.90984E+19,3.89843E+19,6.60402E+19,TRUE
801,7035032,7035132,7035232,63232512180,63279656103,9.07599E+19,6.25171E+19,2.82428E+19,6.25171E+19,8.80371E+19,TRUE
802,7035134,7035234,7035334,63279656103,63338000000,5.65902E+19,2.46402E+19,3.19499E+19,2.46402E+19,5.48925E+19,TRUE
803,7035236,7035336,7035436,63338000000,63389583504,5.10755E+19,2.68294E+19,2.42461E+19,2.68294E+19,4.95433E+19,TRUE
804,7035339,7035439,7035539,63389583504,63346273514,8.25071E+19,4.31309E+19,3.93762E+19,3.93762E+19,8.00319E+19,TRUE
805,7035441,7035541,7035641,63346273514,63526906783,1.16038E+20,6.2213E+19,5.3825E+19,6.2213E+19,1.12557E+20,TRUE
806,7035543,7035643,7035743,63526906783,63566000000,8.47629E+19,5.13293E+19,3.34336E+19,5.13293E+19,8.222E+19,TRUE
807,7035646,7035746,7035846,63566000000,63469940890,8.58321E+19,3.69978E+19,4.88343E+19,4.88343E+19,8.32571E+19,TRUE
808,7035749,7035849,7035949,63469940890,63431548111,8.43835E+19,2.87817E+19,5.56018E+19,5.56018E+19,8.1852E+19,TRUE
809,7035851,7035951,7036051,63431548111,63286028468,6.58761E+19,3.29617E+19,3.29144E+19,3.29144E+19,6.38998E+19,TRUE
810,7035954,7036054,7036154,63286028468,63260000000,8.20787E+19,3.29343E+19,4.91445E+19,4.91445E+19,7.96164E+19,TRUE
811,7036057,7036157,7036257,63260000000,63137097185,6.23372E+19,2.04595E+19,4.18778E+19,4.18778E+19,6.04671E+19,TRUE
812,7036160,7036260,7036360,63137097185,63014425887,7.38414E+19,3.44741E+19,3.93673E+19,3.93673E+19,7.16262E+19,TRUE
813,7036263,7036363,7036463,63014425887,62956070137,8.42193E+19,2.90432E+19,5.51761E+19,5.51761E+19,8.16927E+19,TRUE
814,7036366,7036466,7036566,62956070137,63030072012,7.42216E+19,4.13365E+19,3.28851E+19,4.13365E+19,7.19949E+19,TRUE
815,7036470,7036570,7036670,63030072012,63103000000,9.10109E+19,5.99744E+19,3.10365E+19,5.99744E+19,8.82806E+19,TRUE
816,7036573,7036673,7036773,63103000000,63139204693,7.29361E+19,6.22542E+19,1.06819E+19,6.22542E+19,7.0748E+19,TRUE
817,7036676,7036776,7036876,63139204693,63082260701,8.98213E+19,4.3671E+19,4.61503E+19,4.61503E+19,8.71267E+19,TRUE
818,7036779,7036879,7036979,63082260701,63045340177,7.74471E+19,4.73967E+19,3.00504E+19,3.00504E+19,7.51237E+19,TRUE
819,7036881,7036981,7037081,63045340177,62747933649,8.68177E+19,6.16284E+19,2.51893E+19,2.51893E+19,8.42131E+19,TRUE
820,7036984,7037084,7037184,62747933649,62824109249,1.31289E+20,5.97511E+19,7.15378E+19,5.97511E+19,1.2735E+20,TRUE
821,7037086,7037186,7037286,62824109249,62851362267,6.1146E+19,3.89536E+19,2.21924E+19,3.89536E+19,5.93117E+19,TRUE
822,7037188,7037288,7037388,62851362267,62840266753,6.02268E+19,2.22741E+19,3.79526E+19,3.79526E+19,5.842E+19,TRUE
823,7037290,7037390,7037490,62840266753,62735000000,9.72756E+19,5.99985E+19,3.72771E+19,3.72771E+19,9.43573E+19,TRUE
824,7037393,7037493,7037593,62735000000,62524444419,1.2931E+20,8.175E+19,4.75605E+19,4.75605E+19,1.25431E+20,TRUE
